db_id,imdb_id,next_golden_win,next_golden_nominate,pre_golden_win_num,pre_golden_nominate_num,pre_golden_total,pre_oscars_win_num,pre_oscars_nominate_num,pre_oscars_total,pre_actor_win_num,pre_actor_nominate_num,pre_actor_total,pre_bafta_win_num,pre_bafta_nominate_num,pre_bafta_total,pre_independent_win_num,pre_independent_nominate_num,pre_independent_total,pre_critic_win_num,pre_critic_nominate_num,pre_critic_total,pre_mtv_win_num,pre_mtv_nominate_num,pre_mtv_total,pre_wga_win_num,pre_wga_nominate_num,pre_wga_total,pre_dga_win_num,pre_dga_nominate_num,pre_dga_total,pre_win_total,pre_nominate_total,pre_total,first_movie_year,first_award_year,break_years,movie_imdb_id,experience,max_budget,max_gross,max_meta_score,max_imdb_rating
19343,732,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1973,1990,17,NaN,27,7000000.0,110000.0,79.0,7
98565,48414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1987,1999,12,NaN,13,80000000.0,61280963.0,68.0,8
101821,285,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1987,1996,9,208629.0,13,19000000.0,15911333.0,75.0,6
132586,885,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1972,1977,5,NaN,28,2000000.0,102353.0,79.0,7
220955,313,0,1,0,2,2,0,3,3,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,6,7,1951,1972,21,208874.0,49,20000000.0,17804273.0,59.0,7
225161,111,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1983,1987,4,NaN,17,1200000.0,9180275.0,85.0,7
264041,323,0,0,3,11,14,2,5,7,1,1,2,1,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,24,31,1966,1966,0,NaN,34,45000000.0,106807667.0,70.0,7
286970,120,0,1,2,4,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,3,5,0,0,0,0,0,0,4,8,12,1984,1995,11,170016.0,16,123000000.0,260031035.0,49.0,6
318196,332,0,0,1,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1985,1996,11,NaN,15,90000000.0,124107476.0,86.0,7
345772,123,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1982,1996,14,NaN,18,140000000.0,182618434.0,69.0,7
391583,128,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,5,6,1995,2000,5,172495.0,5,103000000.0,187705427.0,64.0,8
400274,131,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1983,2000,17,146882.0,17,20000000.0,27277055.0,79.0,7
