db_id,imdb_id,next_golden_win,next_golden_nominate,pre_golden_win_num,pre_golden_nominate_num,pre_golden_total,pre_oscars_win_num,pre_oscars_nominate_num,pre_oscars_total,pre_actor_win_num,pre_actor_nominate_num,pre_actor_total,pre_bafta_win_num,pre_bafta_nominate_num,pre_bafta_total,pre_independent_win_num,pre_independent_nominate_num,pre_independent_total,pre_critic_win_num,pre_critic_nominate_num,pre_critic_total,pre_mtv_win_num,pre_mtv_nominate_num,pre_mtv_total,pre_wga_win_num,pre_wga_nominate_num,pre_wga_total,pre_dga_win_num,pre_dga_nominate_num,pre_dga_total,pre_win_total,pre_nominate_total,pre_total,first_movie_year,first_award_year,break_years,movie_imdb_id,experience,max_budget,max_gross,max_meta_score,max_imdb_rating
2083932,98,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1988,2002,14,NaN,26,12000000.0,NaN,60,7
2093105,99,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1987,2006,19,NaN,27,4000000.0,23016519.0,100,8
2134477,2552034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,0,999,NaN,6,3300000.0,NaN,87,8
2150445,949,0,0,3,8,11,2,6,8,0,0,0,3,6,9,0,0,0,2,7,9,0,0,0,0,0,0,0,0,0,10,27,37,1997,1999,2,NaN,17,145000000.0,175859659.0,76,8
2153471,1289434,0,0,1,4,5,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,7,8,2006,2007,1,NaN,8,178000000.0,99992247.0,71,8
2192518,126284,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2002,2008,6,NaN,12,19800000.0,149771255.0,68,6
2224570,1567113,0,0,1,2,3,0,2,2,0,0,0,0,2,2,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,2,8,10,2008,2012,4,NaN,6,165000000.0,436251.0,74,8
2249040,124,0,0,1,1,2,1,1,2,0,0,0,1,1,2,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,4,5,9,1984,2002,18,NaN,30,125000000.0,101160529.0,68,6
2283112,205626,0,0,0,2,2,0,2,2,0,0,0,0,1,1,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,1,7,8,1996,2009,13,NaN,18,NaN,22927000.0,71,7
2300759,368,0,0,3,5,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9,1973,1992,19,NaN,41,15000000.0,124853062.0,69,8
2354781,266824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,0,0,0,0,0,0,0,0,0,1,3,4,2001,2005,4,NaN,13,NaN,252903.0,75,6
2364498,275486,0,0,2,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,8,2002,2008,6,NaN,12,50000000.0,51178893.0,61,6
2374283,404,0,0,3,10,13,2,7,9,0,0,0,2,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,23,30,1960,1963,3,NaN,54,19800000.0,22441091.0,44,7
2523442,5049,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1989,2001,12,NaN,25,145000000.0,111392580.0,71,7
2532077,424060,0,0,0,4,4,0,0,0,0,0,0,1,2,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,8,9,1994,2004,10,NaN,20,170000000.0,259322890.0,70,7
2535817,1401,0,0,3,6,9,0,0,0,0,0,0,0,1,1,0,0,0,1,3,4,0,0,0,0,0,0,0,0,0,4,10,14,1982,1998,16,NaN,32,180000000.0,240366802.0,56,7
2616262,2225369,0,0,2,3,5,1,3,4,0,0,0,1,2,3,0,0,0,2,6,8,0,0,0,0,0,0,0,0,0,6,14,20,2008,2011,3,NaN,6,200000000.0,233893992.0,74,8
2640155,1085951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,0,999,NaN,13,4000000.0,23016519.0,100,8
2665626,511,0,0,4,18,22,1,5,6,0,0,0,2,8,10,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7,32,39,1955,1957,2,NaN,59,10000000.0,NaN,49,6
2735521,545,0,0,3,12,15,1,4,5,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,5,17,22,1969,1995,26,NaN,45,22000000.0,52593224.0,55,7
2747183,194,0,0,1,7,8,0,4,4,0,0,0,0,3,3,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,2,16,18,1990,1998,8,NaN,24,50000000.0,91104080.0,72,7
2755907,5253,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1991,2011,20,NaN,23,NaN,500689.0,65,7
2803633,647634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2011,2012,1,NaN,3,170000000.0,259322890.0,70,7
2877717,636426,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,2011,2011,0,NaN,3,12600000.0,9641812.0,68,7
2923891,5392,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1992,1999,7,NaN,22,170000000.0,207604640.0,79,7
3012322,2794962,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,3,2010,2011,1,NaN,4,28000000.0,30688364.0,68,7
3020650,658,0,0,8,28,36,3,18,21,0,0,0,2,14,16,0,0,0,2,6,8,0,0,0,0,0,0,0,0,0,15,66,81,1975,1979,4,NaN,39,25000000.0,43838601.0,68,6
3030260,5476,0,0,2,3,5,2,2,4,0,0,0,0,1,1,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,6,8,14,1992,2000,8,NaN,22,16000000.0,NaN,68,6
3119288,915208,0,0,0,1,1,0,2,2,0,0,0,0,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,6,6,1993,2004,11,NaN,21,13000000.0,NaN,84,7
3139443,2235721,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2013,2008,-5,NaN,1,NaN,1361423.0,81,7
3142428,702,0,0,1,3,4,1,1,2,0,0,0,1,1,2,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,4,6,10,1991,2000,9,NaN,23,15000000.0,841422.0,65,7
3146306,940362,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,2007,2012,5,NaN,7,85000000.0,150947895.0,69,8
