db_id,imdb_id,next_golden_win,next_golden_nominate,pre_golden_win_num,pre_golden_nominate_num,pre_golden_total,pre_oscars_win_num,pre_oscars_nominate_num,pre_oscars_total,pre_actor_win_num,pre_actor_nominate_num,pre_actor_total,pre_bafta_win_num,pre_bafta_nominate_num,pre_bafta_total,pre_independent_win_num,pre_independent_nominate_num,pre_independent_total,pre_critic_win_num,pre_critic_nominate_num,pre_critic_total,pre_mtv_win_num,pre_mtv_nominate_num,pre_mtv_total,pre_wga_win_num,pre_wga_nominate_num,pre_wga_total,pre_dga_win_num,pre_dga_nominate_num,pre_dga_total,pre_win_total,pre_nominate_total,pre_total,first_movie_year,first_award_year,break_years,movie_imdb_id,experience,max_budget,max_gross,max_meta_score,max_imdb_rating
2071189,260,0,1,0,1,1,0,2,2,0,0,0,0,1,1,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,2,6,8,1978,1996,18,208874.0,22,20000000.0,17804273.0,59.0,7
2079400,96,0,0,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,1992,1996,4,NaN,8,10000000.0,3041803.0,78.0,7
2111375,843,0,0,2,8,10,1,5,6,0,0,0,3,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20,26,1952,1963,11,NaN,48,30000000.0,37036404.0,60.0,6
2147892,1951,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,0,999,168629.0,6,12800000.0,4184036.0,61.0,8
2150445,949,0,0,1,1,2,0,1,1,0,0,0,1,2,3,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,3,5,8,1997,1999,2,NaN,3,10000000.0,11994719.0,62.0,6
2185967,113,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1987,1996,9,212346.0,13,45000000.0,106807667.0,46.0,6
2189507,995,0,1,1,6,7,1,5,6,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,15,1964,1972,8,180093.0,36,24000000.0,3609278.0,68.0,8
2269050,349,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,4,5,1980,1989,9,NaN,20,20000000.0,33771174.0,79.0,7
2298952,1132,1,1,1,2,3,1,2,3,0,0,0,4,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,16,1969,1986,17,220608.0,31,25000000.0,71309760.0,79.0,7
2326987,379,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1989,1995,6,NaN,11,12000000.0,68379000.0,76.0,7
2500980,5028,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,0,999,181875.0,1,60000000.0,32522352.0,90.0,8
2503788,166,0,0,4,7,11,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,13,1975,1993,18,NaN,25,90000000.0,233632142.0,73.0,7
2513521,1388,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1976,1984,8,NaN,24,48000000.0,124107476.0,86.0,7
2640323,1473,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1992,0,999,203230.0,8,10000000.0,9180275.0,85.0,7
2665626,511,0,0,4,15,19,1,5,6,0,0,0,2,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,28,35,1955,1957,2,NaN,45,10000000.0,NaN,NaN,6
2707144,531,0,1,0,1,1,1,2,3,0,0,0,0,1,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,2,5,7,1984,1989,5,181875.0,16,60000000.0,32522352.0,90.0,8
2727212,541,0,1,3,6,9,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,12,1966,1980,14,247079.0,34,70000000.0,182805123.0,47.0,6
2735521,545,0,0,1,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,1969,1995,26,NaN,31,NaN,1439287.0,85.0,8
2759574,5259,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1983,0,999,157246.0,17,500000.0,NaN,63.0,6
2794549,640323,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,999,212318.0,0,48000000.0,37879996.0,64.0,6
2819626,1593,0,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1996,1994,-2,NaN,4,75000000.0,157299717.0,90.0,8
2893726,1669,0,0,2,6,8,0,2,2,0,0,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,14,1987,1993,6,NaN,13,42000000.0,106793915.0,88.0,7
2901065,210,1,1,2,4,6,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,9,1987,1990,3,195685.0,13,52000000.0,125548685.0,73.0,7
3073658,678,0,0,2,4,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7,1981,1985,4,NaN,19,9000000.0,4859475.0,76.0,7
3077397,1808,0,1,1,4,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,1985,1986,1,196216.0,15,18000000.0,17071230.0,77.0,6
3140953,701,0,0,0,2,2,0,2,2,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,1995,1996,1,NaN,5,13500000.0,7060876.0,70.0,7
3146020,5569,0,1,1,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,1978,1984,6,250425.0,22,127500000.0,137748063.0,70.0,7
3164530,250,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,0,999,171580.0,7,51000000.0,90567722.0,69.0,6
2083932,98,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1988,0,999,108778.0,13,57000000.0,16991902.0,54.0,6
