db_id,imdb_id,next_golden_win,next_golden_nominate,pre_golden_win_num,pre_golden_nominate_num,pre_golden_total,pre_oscars_win_num,pre_oscars_nominate_num,pre_oscars_total,pre_actor_win_num,pre_actor_nominate_num,pre_actor_total,pre_bafta_win_num,pre_bafta_nominate_num,pre_bafta_total,pre_independent_win_num,pre_independent_nominate_num,pre_independent_total,pre_critic_win_num,pre_critic_nominate_num,pre_critic_total,pre_mtv_win_num,pre_mtv_nominate_num,pre_mtv_total,pre_wga_win_num,pre_wga_nominate_num,pre_wga_total,pre_dga_win_num,pre_dga_nominate_num,pre_dga_total,pre_win_total,pre_nominate_total,pre_total,first_movie_year,first_award_year,break_years,movie_imdb_id,experience,max_budget,max_gross,max_meta_score,max_imdb_rating
51233,27572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1996,1999,3,NaN,18,NaN,59034599.0,88,8
71715,4716,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,2,3,0,1,1,0,0,0,0,0,0,0,1,1,1,6,7,1998,2001,3,NaN,16,125000000.0,101160529.0,68,6
128091,876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1995,2006,11,NaN,19,10000000.0,NaN,84,7
192036,94435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,0,999,NaN,0,39200000.0,4563029.0,84,7
194242,1837748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,0,999,NaN,1,12000000.0,124853062.0,69,8
318112,3227090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,0,999,NaN,5,3300000.0,NaN,87,8
511976,142,0,0,3,7,10,2,4,6,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,5,15,20,1955,1989,34,NaN,59,40000000.0,46222854.0,54,7
575109,399,0,0,1,2,3,0,2,2,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,1,6,7,3,12,15,1985,2004,19,NaN,29,61000000.0,37513109.0,79,8
718975,348181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997,0,999,NaN,17,170000000.0,319169216.0,76,8
737354,2120,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3,1991,1988,-3,NaN,23,22000000.0,52593224.0,55,7
869677,416945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,1,3,4,1986,1995,9,NaN,28,NaN,805213.0,87,8
1074143,510731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1994,2000,6,NaN,20,178000000.0,99992247.0,71,8
1078093,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1988,1992,4,NaN,26,4000000.0,23016519.0,100,8
1094299,520488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,0,999,NaN,6,60000000.0,257716507.0,82,7
1237267,588087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,0,999,NaN,6,60000000.0,257716507.0,82,7
1339199,634240,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2,0,2,2,0,0,0,0,0,0,0,3,3,1,7,8,2001,2002,1,NaN,13,165000000.0,NaN,74,8
2563661,448311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,0,999,NaN,15,NaN,161300.0,87,7
2928709,755158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1996,2013,17,NaN,18,NaN,1833139.0,83,7
