db_id,imdb_id,next_golden_win,next_golden_nominate,pre_golden_win_num,pre_golden_nominate_num,pre_golden_total,pre_oscars_win_num,pre_oscars_nominate_num,pre_oscars_total,pre_actor_win_num,pre_actor_nominate_num,pre_actor_total,pre_bafta_win_num,pre_bafta_nominate_num,pre_bafta_total,pre_independent_win_num,pre_independent_nominate_num,pre_independent_total,pre_critic_win_num,pre_critic_nominate_num,pre_critic_total,pre_mtv_win_num,pre_mtv_nominate_num,pre_mtv_total,pre_wga_win_num,pre_wga_nominate_num,pre_wga_total,pre_dga_win_num,pre_dga_nominate_num,pre_dga_total,pre_win_total,pre_nominate_total,pre_total,first_movie_year,first_award_year,break_years,movie_imdb_id,experience,max_budget,max_gross,max_meta_score,max_imdb_rating
71715,4716.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1998,1999,1,NaN,2,4500000.0,3609278,68.0,8.4
250046,122344.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1984,1991,7,NaN,16,100000.0,339884,94.0,7.4
349160,1053.0,0,0,0,1,1,1,1,2,0,0,0,0,1,1,1,2,3,0,1,1,0,0,0,1,1,2,0,0,0,3,7,10,1984,1986,2,NaN,16,26000000.0,45506619,69.0,7.8
349171,1054.0,0,0,0,1,1,1,1,2,0,0,0,0,1,1,1,2,3,0,1,1,0,0,0,1,1,2,0,0,0,3,7,10,1984,1986,2,NaN,16,26000000.0,45506619,69.0,7.8
391495,1081.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,1978,1997,19,181875.0,22,60000000.0,32522352,90.0,8.0
622236,300866.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,999,181865.0,0,60000000.0,124107476,86.0,7.7
715221,1302.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1971,1998,27,NaN,29,6000000.0,18621249,78.0,7.5
971797,460141.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1984,1990,6,185014.0,16,35000000.0,19389454,73.0,7.4
1064554,506405.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1983,1998,15,NaN,17,6000000.0,18621249,78.0,7.5
1089899,518836.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,0,999,203230.0,1,76000000.0,26000610,85.0,7.8
1137283,519.0,0,0,0,3,3,0,2,2,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1981,1983,2,NaN,19,NaN,6920692,75.0,6.8
2010255,942354.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,999,180073.0,0,13500000.0,7060876,70.0,7.4
40155,265.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1947,1994,47,NaN,54,19800000.0,41308615,90.0,7.3
100512,837.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1969,0,999,NaN,32,19800000.0,41308615,90.0,7.3
346261,167280.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,0,999,NaN,0,7000000.0,6200756,88.0,7.5
349160,1053.0,0,1,0,1,1,1,2,3,0,0,0,0,2,2,1,2,3,0,1,1,0,0,0,1,1,2,0,0,0,3,9,12,1984,1986,2,243133.0,17,20000000.0,7494849,73.0,7.6
349171,1054.0,0,1,0,1,1,1,2,3,0,0,0,0,2,2,1,2,3,0,1,1,0,0,0,1,1,2,0,0,0,3,9,12,1984,1986,2,243133.0,17,20000000.0,7494849,73.0,7.6
496219,239653.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,0,999,NaN,0,1700000.0,35918429,86.0,7.5
562980,271501.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,0,999,280707.0,16,19800000.0,41308615,90.0,7.3
572167,276062.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1987,0,999,NaN,14,1700000.0,35918429,86.0,7.5
674256,1279.0,0,0,0,3,3,2,2,4,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,8,11,1963,1970,7,NaN,38,31000000.0,24185781,55.0,6.9
674434,326040.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,0,999,268978.0,7,60000000.0,170708996,72.0,8.2
862294,1392.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,1996,1995,-1,NaN,5,93000000.0,315544750,92.0,8.8
1104224,525303.0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1996,1993,-3,NaN,5,52500000.0,57386369,66.0,7.7
1110335,186.0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,4,1977,1981,4,166924.0,24,15000000.0,7219578,NaN,NaN
1248743,593463.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1986,0,999,NaN,15,6000000.0,3029081,85.0,7.8
1339199,634240.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,0,999,209144.0,0,9000000.0,25544867,80.0,8.6
1339312,634300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,0,999,NaN,0,9000000.0,25544867,80.0,8.6
1417102,668902.0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1996,1993,-3,NaN,5,52500000.0,57386369,66.0,7.7
1845331,866058.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1978,0,999,NaN,23,93000000.0,315544750,92.0,8.8
1856765,871136.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,0,999,NaN,0,6000000.0,3029081,85.0,7.8
2004438,939606.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1979,1966,-13,NaN,22,5500000.0,5580479,76.0,7.1
2049535,959062.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,0,999,NaN,16,7000000.0,6200756,88.0,7.5
2166192,101991.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,0,999,NaN,0,93000000.0,315544750,92.0,8.8
2859687,695609.0,0,0,0,2,2,2,3,5,0,0,0,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,12,1966,1984,18,NaN,35,15000000.0,3037579,62.0,6.0
3112971,909638.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,1996,1995,-1,NaN,5,93000000.0,315544750,92.0,8.8
